Lambda,Average Penalty,Standard Deviation
0.0,-0.0658846859607174,0.001044646926718
1.0,-0.0451593769769756,0.0075381495250941
2.0,-0.0397023006156077,0.0021439026567318
3.0,-0.03246927517161,0.0017454852146066
4.0,-0.0290705070541856,0.0014060642837102
5.0,-0.0244587405499611,0.0013225311453204
6.0,-0.0268757384593593,0.0012463111721572
7.0,-0.0290402634111455,0.0016581184510982
8.0,-0.0225756859433767,0.0016068998235356
9.0,-0.0222387922355534,0.0011366984555834
10.0,-0.0274181375085664,0.0018116345127756
