Lambda,Average Penalty,Standard Deviation
0.0,-0.06588468596071748,0.0010446469267180673
1.0,-0.045159376976975606,0.007538149525094178
2.0,-0.03970230061560775,0.0021439026567318556
3.0,-0.03246927517161003,0.0017454852146066883
4.0,-0.029070507054185634,0.0014060642837102962
5.0,-0.024458740549961163,0.0013225311453204107
6.0,-0.02687573845935931,0.001246311172157229
7.0,-0.029040263411145534,0.0016581184510982183
8.0,-0.022575685943376743,0.0016068998235356537
9.0,-0.02223879223555344,0.0011366984555834462
10.0,-0.02741813750856648,0.0018116345127756135
