Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06585271326333943,0.0012328765712885216,119.52392479777336
0.1,-0.03670667515686936,0.001000717013152861,-86.7915523827076
0.2,-0.03444775492630513,0.0011778066735964364,-87.90299845337867
0.3,-0.03073918130995528,0.0015847595575628555,-89.26485151052475
0.4,-0.029540463906170444,0.0013694454972097406,-89.53817108869552
0.5,-0.02652717127207861,0.001111892566260208,-90.42541872859002
0.6,-0.02641266071525933,0.0013044545679120976,-91.58780924081802
0.7,-0.025946725847121647,0.0010306080251017938,-92.76163228154182
0.8,-0.02670086173518742,0.0017911483022445365,-93.91151690483093
0.9,-0.02677270378360831,0.0010872265597279822,-95.04642637968064
1.0,-0.02761313387159594,0.0023907370039858273,-36.24264371991158
