Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06640013878803279,0.0014695345237067429,119.23622026046117
0.1,-0.03812805411813256,0.0012403174143180977,-86.33752659956615
0.2,-0.03554445938058709,0.0008670460754379043,-87.28983014822006
0.3,-0.03149586430659875,0.0005933044211920238,-20.93907129764557
0.4,-0.030947957126851226,0.00046519961839816776,45.23299294710159
0.5,-0.027631502118260185,0.0012452214303479794,111.6164469520251
0.6,-0.02653722272413533,0.0006175518179728064,110.53526572386424
0.7,-0.025402292621280503,0.0012330263430429856,109.34934097528458
0.8,-0.02675177402536125,0.000592118458803343,108.03893951574962
0.9,-0.028701034039077016,0.002237013402905947,106.1081258058548
1.0,-0.028067995832536163,0.0015230798210065788,104.80798506736755
