Lambda,Average Penalty,Standard Deviation
0.0,-0.06583944180157533,0.0008292017337069194
0.1,-0.03766904880257954,0.0006256546386589661
0.2,-0.035170001183860974,0.0017242848053626136
0.3,-0.033471515353354686,0.0013794645744176336
0.4,-0.030845832997321028,0.0010420523893857245
0.5,-0.02745752797347546,0.001583906954716184
0.6,-0.02724403259825,0.0012567307536948634
0.7,-0.02786454531172646,0.0016531348151008385
0.8,-0.02726521861374313,0.0015117206909734018
0.9,-0.029480215182490454,0.0017769751800488197
1.0,-0.029790379395101495,0.0009955334642988887
