Lambda,Average Penalty,Standard Deviation
0.0,-0.06605041638837292,0.0009477378850009601
0.1,-0.037631895408667196,0.0018984009560771256
0.2,-0.03478247018987619,0.001001217540184426
0.3,-0.032343316253138944,0.0009429382903659097
0.4,-0.03071316520723507,0.0013724498351963773
0.5,-0.026175974028035738,0.000765036640250304
0.6,-0.02696887404384113,0.0009757293753369451
0.7,-0.026551411314907236,0.00116958779752904
0.8,-0.026681200690457336,0.0019663941349743978
0.9,-0.02601810472004331,0.0018361491692096157
1.0,-0.026798637066782406,0.00157195183994265
