Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06487013799388235,0.0,119.31982493400574
0.1,-0.04601450149829571,0.0,-84.8607667684555
0.2,-0.04059024390421415,0.0,-86.5840476155281
0.3,-0.0393035789815391,0.0,-86.87655627727509
0.4,-0.03774228124391465,0.0,112.33784747123718
0.5,-0.036518101285143593,0.0,109.81445264816284
0.6,-0.03588520608297208,0.0,108.55004614591599
0.7,-0.03731653718061225,0.0,107.1046656370163
0.8,-0.03530173139138655,0.0,106.58882862329483
0.9,-0.03591126771200271,0.0,104.21436333656311
1.0,-0.03541861068118702,0.0,102.6643705368042
