Lambda,Average Penalty,Standard Deviation
0.0,-0.06907595863043613,0.0010862446670999333
0.1,-0.03821319289428958,0.0010226278835862807
0.2,-0.03557953128311016,0.0014765065569722444
0.3,-0.034912687808579305,0.0016900812883896123
0.4,-0.03381169207526374,0.0014522347192434044
0.5,-0.026556286506833632,0.0017676445262784855
0.6,-0.026102346105873135,0.0019693565095098356
0.7,-0.02657763608648735,0.0015916734121989953
0.8,-0.026365150501944552,0.0015052137108886087
0.9,-0.03002269503886998,0.0016581239166768924
1.0,-0.02901260553837045,0.003146785490902944
