Lambda,Average Penalty,Standard Deviation
0.0,-0.06914278560556514,0.0010787136840463454
0.1,-0.05334795937308234,0.004397610614028774
0.2,-0.05378163826226423,0.0061306740059530705
0.3,-0.05312651402281392,0.0076449293887123045
0.4,-0.05300463997384308,0.00800384478814581
0.5,-0.037633650597322564,0.0020588295534641156
0.6,-0.03743917622574889,0.0014841513448249077
0.7,-0.03671669756363924,0.002092058814881468
0.8,-0.03652922341015534,0.00200705119880292
0.9,-0.036647456657214465,0.0013880127692207902
1.0,-0.03694583723187415,0.0020051926852987403
