Lambda,Average Penalty,Standard Deviation
0.0,-0.06520939878476685,0.0008103069962116251
0.1,-0.03711336967847767,0.001232609546200907
0.2,-0.03480346043970567,0.0012569815810955115
0.3,-0.03193715451369553,0.0010549200824411535
0.4,-0.030400835662523735,0.0005499931599908627
0.5,-0.027517922141538552,0.0009423585296056032
0.6,-0.027482102455854696,0.000843611867910693
0.7,-0.02634762255617006,0.0009399040264198719
0.8,-0.027925264866340876,0.0010729235468157257
0.9,-0.027561696238035043,0.0009597764282862286
1.0,-0.028462026783886197,0.0019418965472204413
