Lambda,Average Penalty,Standard Deviation
0.0,-0.06535066442984508,0.0006014027947534005
0.1,-0.03893056290705689,0.0016788366007488703
0.2,-0.03497432314109992,0.002036962488725587
0.3,-0.03188998471925188,0.0012249037152346064
0.4,-0.03078483392743917,0.0016288331305625446
0.5,-0.028166237625544526,0.0012795523227100978
0.6,-0.027396350762224075,0.0016288296341141306
0.7,-0.026576718372023432,0.0008425188386354534
0.8,-0.027784422587507556,0.0011696048016000154
0.9,-0.029206219923685044,0.001602216972087481
1.0,-0.028643130606029465,0.00040906477293173587
