Lambda,Average Penalty,Standard Deviation
0.0,-0.06904665998813697,0.001124217026565373
0.1,-0.0349789285010408,0.0012642566262438463
0.2,-0.031082844323025726,0.0014170612425178143
0.3,-0.028364860042637035,0.0018463085397238228
0.4,-0.02690886578655033,0.0013545802556062495
0.5,-0.025932983946157888,0.002621948562000918
0.6,-0.0264556448952053,0.00171930455699307
0.7,-0.025505709692973954,0.001387238059152584
0.8,-0.026133824384750804,0.0012982339202166637
0.9,-0.026283054495785274,0.0016320991659260885
1.0,-0.02601736003346289,0.001973824213819836
