Lambda,Average Penalty,Standard Deviation
0.0,-0.06556484798074284,0.0007612703096341689
0.1,-0.03957677166110713,0.0007018892454309423
0.2,-0.04099356986028777,0.0025113046114633372
0.3,-0.04226047257912237,0.002709437433659945
0.4,-0.07694587390839569,0.07526901947397918
0.5,-0.028227194157815348,0.001762265038566031
0.6,-0.02441376774128538,0.0011996696457702307
0.7,-0.024842395664372924,0.0014021640150851673
0.8,-0.021939282589443457,0.0008967762615007323
0.9,-0.022823471573417527,0.0013512567019092576
1.0,-0.028067279395131862,0.0015122812406159027
