Lambda,Average Penalty,Standard Deviation
0.0,-0.06531880637840666,0.0012541279001015372
0.1,-0.039834140155894676,0.0012238458126419746
0.2,-0.03956948143345364,0.0009821053526478003
0.3,-0.03867907507078988,0.0009995361167687963
0.4,-0.03631983602688203,0.0008758600969351751
0.5,-0.024342573260045436,0.0006200217673350531
0.6,-0.02438548898864046,0.0016012435428698739
0.7,-0.02287419316889634,0.0008960464678285726
0.8,-0.023199059489712067,0.0006989979056687137
0.9,-0.02386330419197315,0.0004929031834722806
1.0,-0.026056681761659872,0.0015434453907879058
