Lambda,Average Penalty,Standard Deviation
0.0,-0.06617647425085832,0.0010355582579930982
0.1,-0.04441292193053383,0.0010683630668095587
0.2,-0.042328781813348496,0.00032789630179146193
0.3,-0.04078047209986636,0.0006683770005681988
0.4,-0.03701863196937606,0.0007868902696852627
0.5,-0.023836613794958543,0.0022002229649933426
0.6,-0.023620844265970584,0.0014523833511667277
0.7,-0.023397618428686078,0.0013020219713003427
0.8,-0.02295539509243989,0.0014974593008529765
0.9,-0.024019613002875723,0.0006951470362323391
1.0,-0.025754853520622206,0.0012515355342827298
