Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06649675392426828,0.0011279914067300956,119.50910170674324
0.1,-0.04098442329913016,0.0010251269868710897,-86.0647190272808
0.2,-0.03324072070890681,0.0013052885261928542,-25.75537192225456
0.3,-0.032708816357377345,0.0012876008443852903,93.44871192574502
0.4,-0.03057007197157407,0.0013128045326732366,112.28054473996163
0.5,-0.02851510838609387,0.001439671586642849,111.56107827425004
0.6,-0.026944692248682723,0.0011231136260458625,110.29219024181366
0.7,-0.026985420419341755,0.0014997465378994877,109.1727095901966
0.8,-0.027480439998637328,0.0017376307752241364,107.65634319782257
0.9,-0.027703253450989312,0.0013499079167887415,106.53796065449714
1.0,-0.02939362550289614,0.0013587781698601955,104.65051582455635
